Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Diesel,Fuel_LPG,Fuel_Petrol
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,1.0,24.52,1248,88.5,7.0,8.15,1,1,0,0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,1.0,22.1,1396,88.7,5.0,10.5,1,1,0,0
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,1.0,8.5,4806,500.0,5.0,14.5,0,0,0,1
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,1.0,15.1,2179,140.0,7.0,9.65,1,1,0,0
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,1.0,16.95,1197,78.9,5.0,3.48,0,0,0,1
73,Nissan Terrano XV D Pre,Kochi,2015,56066,1.0,19.64,1461,108.5,5.0,6.92,1,1,0,0
74,Honda Brio VX AT,Coimbatore,2016,37300,2.0,16.5,1198,86.8,5.0,6.46,0,0,0,1
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,2.0,18.53,1968,187.74,5.0,29.5,0,1,0,0
77,Toyota Innova 2.0 G1,Chennai,2006,230000,3.0,12.4,1998,132.0,8.0,4.5,1,0,0,1
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,1.0,12.8,2494,102.0,7.0,11.75,1,1,0,0
80,Maruti Swift VDI,Jaipur,2012,95100,1.0,22.9,1248,74.0,5.0,3.75,1,1,0,0
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,1.0,17.57,1193,88.7,5.0,4.5,1,0,0,1
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,1.0,18.0,1198,86.7,5.0,4.82,1,0,0,1
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,1.0,20.0,1399,68.0,5.0,2.8,1,1,0,0
84,Maruti Ritz VDi,Jaipur,2013,99638,1.0,23.2,1248,73.94,5.0,3.11,1,1,0,0
85,Honda City i VTEC E,Delhi,2009,52000,1.0,17.8,1497,117.3,5.0,3.25,1,0,0,1
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,2.0,16.73,1995,218.0,5.0,13.9,0,1,0,0
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,1.0,20.36,1197,78.9,5.0,2.25,1,0,0,1
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,1.0,18.9,1197,82.0,5.0,5.75,1,0,0,1
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,1.0,17.8,1198,86.7,5.0,5.0,1,0,0,1
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,1.0,13.0,2982,168.5,7.0,16.5,1,1,0,0
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,1.0,17.68,1968,174.33,5.0,39.58,0,1,0,0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,1.0,22.7,1498,89.84,5.0,5.5,1,1,0,0
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,1.0,15.1,2179,140.0,7.0,8.1,1,1,0,0
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,1.0,25.8,1498,98.6,5.0,3.5,1,1,0,0
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,1.0,22.07,1199,73.9,5.0,2.79,1,1,0,0
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,1.0,16.2,1493,110.0,5.0,3.45,1,1,0,0
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,1.0,18.9,998,67.1,5.0,4.45,1,0,0,1
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,1.0,15.26,1598,103.5,5.0,2.65,1,0,0,1
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,2.0,23.0,1396,90.0,5.0,3.8,1,1,0,0
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,1.0,18.5,1197,82.85,5.0,4.65,1,0,0,1
102,Datsun GO Plus T Petrol,Pune,2017,32851,1.0,19.83,1198,67.0,7.0,3.95,1,0,0,1
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,1.0,14.94,2967,241.4,5.0,9.8,0,1,0,0
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,2.0,17.0,1197,80.0,5.0,2.7,1,0,0,1
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,1.0,14.0,796,35.0,5.0,2.41,1,0,0,1
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,1.0,17.71,1197,78.9,5.0,3.9,1,0,0,1
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,2.0,14.74,2993,270.9,5.0,24.0,0,1,0,0
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,2.0,16.0,2179,140.0,7.0,5.75,1,1,0,0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,1.0,22.32,1582,126.32,5.0,5.25,0,1,0,0
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,1.0,11.36,2755,171.5,7.0,19.25,0,1,0,0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,1.0,15.1,1196,73.0,5.0,3.91,1,0,0,1
112,Tata Nano Twist XT,Bangalore,2014,25500,1.0,25.4,624,37.5,4.0,2.15,1,0,0,1
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,1.0,22.69,1995,190.0,5.0,20.75,0,1,0,0
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,1.0,13.5,1799,130.0,5.0,3.35,1,0,0,1
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,1.0,12.99,2494,100.6,7.0,11.11,1,1,0,0
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,1.0,23.3,1984,150.0,5.0,20.0,0,1,0,0
117,Nissan Micra XV CVT,Coimbatore,2016,39882,1.0,19.15,1198,75.94,5.0,6.55,0,0,0,1
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,1.0,10.8,2497,215.0,5.0,7.0,0,0,0,1
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,1.0,24.3,1248,88.5,5.0,7.5,1,1,0,0
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,2.0,15.0,2143,107.3,5.0,16.75,0,1,0,0
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,1.0,22.0,1582,126.2,5.0,10.95,1,1,0,0
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,1.0,18.9,998,67.1,5.0,2.45,1,0,0,1
124,Tata Nano XTA,Coimbatore,2017,32684,1.0,21.9,624,37.48,4.0,3.23,0,0,0,1
125,Mahindra Scorpio VLX,Kolkata,2014,42000,1.0,12.05,2179,120.0,8.0,7.75,1,1,0,0
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,1.0,11.7,1796,178.0,5.0,9.35,0,0,0,1
127,Maruti Wagon R LXI CNG,Pune,2013,89900,1.0,26.6,998,58.16,5.0,3.25,1,0,0,0
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,2.0,10.8,2354,152.0,5.0,5.25,1,0,0,1
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,1.0,21.21,1498,103.2,5.0,7.25,0,1,0,0
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,1.0,20.73,1373,91.1,5.0,7.47,1,0,0,1
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,1.0,16.0,2179,140.0,7.0,13.25,0,1,0,0
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,1.0,21.1,1197,85.8,5.0,5.81,1,0,0,1
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,1.0,24.07,998,67.1,5.0,2.6,1,0,0,1
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,1.0,19.0,2996,362.07,2.0,54.0,0,0,0,1
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,1.0,17.0,1591,121.3,5.0,11.5,0,0,0,1
136,Maruti Alto LXi BSIII,Chennai,2010,94385,2.0,19.7,796,46.3,5.0,1.6,1,0,0,1
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,1.0,20.58,1995,143.0,5.0,17.22,0,1,0,0
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,1.0,19.0,1199,88.7,5.0,6.0,0,0,0,1
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,1.0,13.5,1799,130.0,5.0,3.95,1,0,0,1
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,1.0,19.27,2143,170.0,5.0,17.95,0,1,0,0
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,1.0,25.8,1498,98.6,5.0,3.7,1,1,0,0
142,Maruti Swift VVT VXI,Kochi,2016,34204,1.0,22.0,1197,81.8,5.0,5.43,1,0,0,1
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,1.0,11.5,2982,171.0,7.0,13.49,1,1,0,0
145,Chevrolet Beat LT Option,Pune,2014,38800,1.0,18.6,1199,76.8,5.0,2.85,1,0,0,1
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,1.0,21.14,1498,103.52,5.0,4.75,1,1,0,0
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,1.0,20.73,1373,91.1,5.0,9.9,1,0,0,1
148,Audi RS5 Coupe,Mumbai,2013,23000,1.0,11.05,2894,444.0,4.0,37.0,0,0,0,1
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,1.0,21.76,1995,190.0,5.0,26.5,0,1,0,0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,1.0,17.11,1968,174.33,5.0,23.32,0,1,0,0
151,Maruti Swift VDI,Chennai,2016,35000,1.0,22.9,1248,74.0,5.0,6.25,1,1,0,0
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,1.0,7.81,5461,362.9,5.0,30.0,0,0,0,1
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,1.0,21.66,1498,103.52,5.0,9.86,0,1,0,0
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,1.0,17.2,1968,138.1,5.0,8.5,0,1,0,0
155,Hyundai EON Magna Plus,Kochi,2019,14322,1.0,21.1,814,55.2,5.0,4.23,1,0,0,1
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,1.0,22.07,1199,73.9,5.0,3.5,1,1,0,0
157,Datsun GO NXT,Kolkata,2016,6000,1.0,20.63,1198,67.06,5.0,2.5,1,0,0,1
158,Honda Brio S MT,Kolkata,2013,33280,1.0,19.4,1198,86.8,5.0,2.39,1,0,0,1
159,Mercedes-Benz B Class B180,Delhi,2013,29000,1.0,14.8,1595,120.7,5.0,11.25,0,0,0,1
160,Honda City i DTEC V,Kochi,2015,42831,1.0,26.0,1498,98.6,5.0,7.11,1,1,0,0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,1.0,12.99,2494,100.6,7.0,10.9,1,1,0,0
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,1.0,20.4,1197,81.8,5.0,6.2,1,0,0,1
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,1.0,15.1,2179,140.0,7.0,7.9,1,1,0,0
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,1.0,22.7,1498,89.84,5.0,4.42,1,1,0,0
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,1.0,13.0,2982,168.5,7.0,13.5,1,1,0,0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,1.0,21.5,1498,108.5,5.0,6.25,0,1,0,0
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,2.0,20.0,1399,68.0,5.0,2.1,1,1,0,0
168,BMW X5 xDrive 30d,Mumbai,2015,41000,1.0,15.3,2993,258.0,5.0,45.0,0,1,0,0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,1.0,19.27,2143,167.62,5.0,33.66,0,1,0,0
170,Honda Brio V MT,Bangalore,2012,45000,2.0,19.4,1198,86.8,5.0,3.65,1,0,0,1
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,1.0,20.36,1197,78.9,5.0,2.75,1,0,0,1
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,1.0,17.9,2143,170.0,5.0,42.5,0,1,0,0
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,1.0,18.9,1197,81.86,5.0,6.5,1,0,0,1
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,2.0,17.68,1968,174.33,5.0,19.0,0,1,0,0
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,2.0,14.4,1598,103.6,5.0,4.45,0,0,0,1
176,Mini Countryman Cooper D,Jaipur,2017,8525,2.0,16.6,1998,112.0,5.0,23.0,0,1,0,0
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,1.0,22.54,1396,88.73,5.0,8.35,1,1,0,0
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,1.0,17.68,1968,174.33,5.0,22.95,0,1,0,0
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,1.0,25.44,936,57.6,5.0,1.5,1,1,0,0
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,1.0,13.7,1798,157.75,5.0,6.89,0,0,0,1
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,2.0,17.8,1399,68.0,5.0,1.45,1,1,0,0
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,1.0,22.48,1995,190.0,5.0,33.5,0,1,0,0
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,1.0,12.9,1598,102.5,5.0,1.25,1,0,0,1
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,1.0,22.07,1199,73.9,5.0,4.2,1,1,0,0
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,1.0,19.98,1461,108.5,8.0,6.75,1,1,0,0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,1.0,13.0,2143,201.1,5.0,32.0,0,1,0,0
187,Maruti Baleno Alpha,Kochi,2017,24773,1.0,21.4,1197,83.1,5.0,7.5,1,0,0,1
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,1.0,22.32,1582,126.32,5.0,4.6,1,1,0,0
189,Hyundai i10 Magna 1.1,Kochi,2017,52340,1.0,19.81,1086,68.05,5.0,4.04,1,0,0,1
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,1.0,15.4,1997,120.0,7.0,10.31,1,1,0,0
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,1.0,12.7,2179,187.7,5.0,55.76,0,1,0,0
192,Ford Figo Diesel ZXI,Chennai,2010,120000,1.0,20.0,1399,68.0,5.0,2.6,1,1,0,0
193,Maruti Ertiga ZDI,Mumbai,2016,33000,1.0,25.47,1248,88.5,7.0,8.5,1,1,0,0
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,1.0,25.8,1498,98.6,5.0,3.5,1,1,0,0
196,Hyundai i10 Magna,Jaipur,2015,43571,1.0,20.36,1197,78.9,5.0,3.55,1,0,0,1
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,1.0,25.8,1498,98.6,5.0,3.25,1,1,0,0
198,Skoda Laura Ambiente,Hyderabad,2008,113000,1.0,17.5,1896,106.0,5.0,4.5,1,1,0,0
199,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,1.0,19.87,1461,83.8,5.0,5.35,1,1,0,0
200,Mahindra NuvoSport N6,Chennai,2017,29000,2.0,17.45,1493,100.0,7.0,6.5,1,1,0,0
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,1.0,24.3,1248,88.5,5.0,9.0,1,1,0,0
202,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,1.0,18.6,1197,81.83,5.0,6.0,1,0,0,1
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,1.0,14.7,1390,85.0,5.0,2.75,1,0,0,1
204,Tata Indigo eCS GLX,Pune,2010,70500,1.0,15.64,1193,64.1,5.0,1.5,1,0,0,1
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,1.0,15.73,1968,174.33,5.0,19.9,0,1,0,0
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,1.0,14.7,1798,177.5,5.0,10.0,0,0,0,1
207,Toyota Etios Liva GD SP,Delhi,2014,104000,1.0,23.59,1364,67.06,5.0,3.0,1,1,0,0
209,Mercedes-Benz B Class B180,Kochi,2014,37245,1.0,14.8,1595,120.7,5.0,11.96,0,0,0,1
210,Honda Amaze S Diesel,Kolkata,2013,45000,1.0,27.4,1498,98.6,5.0,3.25,1,1,0,0
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,2.0,22.32,1582,126.32,5.0,4.75,1,1,0,0
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,1.0,20.46,1461,83.8,5.0,5.95,1,1,0,0
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,2.0,15.29,1591,121.3,5.0,8.15,1,0,0,1
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,1.0,20.51,998,67.0,5.0,4.22,0,0,0,1
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,1.0,11.74,1796,186.0,5.0,10.5,0,0,0,1
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,1.0,11.8,2967,246.7,5.0,45.0,0,1,0,0
217,Hyundai i10 Magna 1.1,Pune,2012,44000,2.0,19.81,1086,68.05,5.0,2.9,1,0,0,1
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,1.0,14.3,1598,103.52,5.0,8.9,0,0,0,1
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,1.0,14.67,1798,177.46,5.0,26.0,0,0,0,1
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,1.0,17.19,1197,81.86,5.0,8.22,1,0,0,1
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,2.0,25.8,1498,98.6,5.0,3.5,1,1,0,0
222,Maruti Wagon R LXI,Chennai,2004,61000,2.0,18.9,998,67.1,5.0,1.25,1,0,0,1
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,1.0,21.03,1461,65.0,5.0,3.7,1,1,0,0
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,1.0,19.27,2143,167.62,5.0,39.41,0,1,0,0
225,Maruti Wagon R VXI,Kolkata,2013,32000,1.0,22.5,998,67.04,5.0,2.65,1,0,0,1
